iter	Passed	Remaining
0	146	146283
1	147	73846
2	149	49629
3	150	37539
4	152	30289
5	153	25467
6	154	21967
7	157	19510
8	158	17488
9	160	15919
10	162	14580
11	163	13459
12	164	12522
13	166	11712
14	167	11006
15	169	10410
16	171	9902
17	173	9445
18	182	9415
19	183	8995
20	185	8634
21	187	8326
22	189	8067
23	191	7775
24	192	7510
25	194	7267
26	195	7042
27	196	6827
28	197	6625
29	199	6439
30	200	6273
31	202	6114
32	203	5956
33	204	5809
34	205	5669
35	206	5540
36	208	5419
37	209	5306
38	211	5199
39	212	5093
40	213	4991
41	217	4964
42	218	4872
43	220	4783
44	221	4697
45	222	4617
46	223	4541
47	225	4468
48	226	4403
49	229	4358
50	231	4302
51	233	4250
52	234	4188
53	236	4142
54	237	4083
55	238	4027
56	240	3973
57	241	3920
58	244	3892
59	245	3849
60	247	3804
61	248	3755
62	249	3709
63	250	3664
64	251	3622
65	253	3582
66	255	3551
67	256	3512
68	258	3481
69	259	3452
70	261	3416
71	262	3386
72	264	3353
73	265	3322
74	266	3290
75	268	3258
76	269	3231
77	270	3201
78	272	3176
79	273	3149
80	276	3142
81	278	3114
82	278	3080
83	280	3053
84	281	3027
85	282	3002
86	283	2976
87	284	2952
88	286	2934
89	288	2918
90	290	2897
91	291	2875
92	292	2852
93	293	2829
94	294	2807
95	295	2786
96	296	2764
97	298	2744
98	299	2723
99	300	2706
100	302	2695
101	304	2681
102	305	2664
103	307	2648
104	308	2631
105	309	2614
106	311	2596
107	312	2579
108	313	2563
109	314	2547
110	320	2564
111	321	2550
112	322	2534
113	324	2518
114	325	2503
115	326	2488
116	327	2471
117	328	2456
118	329	2441
119	331	2434
120	334	2431
121	335	2416
122	337	2403
123	338	2389
124	339	2375
125	340	2362
126	341	2347
127	342	2335
128	344	2324
129	348	2330
130	349	2319
131	350	2307
132	352	2296
133	353	2284
134	354	2273
135	355	2261
136	357	2249
137	358	2238
138	359	2227
139	362	2226
140	365	2223
141	365	2210
142	367	2200
143	368	2190
144	369	2180
145	371	2170
146	372	2159
147	373	2149
148	375	2145
149	377	2137
150	379	2134
151	380	2125
152	382	2115
153	383	2106
154	384	2098
155	386	2089
156	387	2079
157	388	2070
158	390	2065
159	392	2060
160	393	2049
161	394	2041
162	395	2032
163	397	2024
164	398	2016
165	399	2008
166	400	1999
167	402	1990
168	403	1985
169	406	1983
170	408	1981
171	409	1973
172	411	1965
173	412	1957
174	413	1949
175	414	1941
176	415	1933
177	417	1926
178	420	1926
179	422	1925
180	423	1918
181	425	1911
182	426	1903
183	427	1895
184	428	1887
185	429	1880
186	430	1873
187	432	1866
188	435	1867
189	437	1863
190	438	1856
191	439	1849
192	440	1842
193	441	1835
194	442	1828
195	444	1822
196	445	1815
197	446	1808
198	449	1809
199	451	1804
200	452	1799
201	453	1792
202	454	1785
203	455	1778
204	456	1771
205	457	1765
206	458	1758
207	460	1751
208	461	1746
209	462	1740
210	464	1736
211	465	1730
212	466	1724
213	467	1718
214	468	1712
215	470	1706
216	471	1700
217	472	1694
218	473	1689
219	475	1685
220	476	1679
221	478	1677
222	480	1674
223	481	1668
224	482	1663
225	484	1657
226	485	1652
227	486	1647
228	488	1643
229	489	1638
230	492	1640
231	494	1637
232	496	1634
233	497	1628
234	498	1623
235	499	1618
236	501	1613
237	502	1609
238	503	1604
239	505	1600
240	506	1596
241	508	1592
242	509	1587
243	511	1583
244	512	1578
245	513	1574
246	514	1569
247	516	1565
248	517	1560
249	518	1556
250	520	1554
251	522	1551
252	524	1547
253	525	1543
254	526	1538
255	527	1534
256	529	1529
257	530	1525
258	531	1520
259	532	1516
260	534	1512
261	535	1508
262	537	1506
263	539	1504
264	541	1500
265	542	1496
266	543	1492
267	544	1487
268	546	1485
269	548	1484
270	552	1486
271	554	1483
272	555	1479
273	557	1475
274	558	1472
275	559	1468
276	561	1464
277	562	1460
278	563	1455
279	564	1451
280	566	1449
281	567	1446
282	568	1441
283	570	1437
284	571	1432
285	572	1428
286	575	1429
287	576	1426
288	578	1422
289	579	1419
290	581	1417
291	582	1413
292	584	1409
293	586	1408
294	589	1409
295	591	1406
296	592	1402
297	593	1398
298	595	1395
299	596	1392
300	598	1390
301	599	1386
302	601	1383
303	602	1379
304	603	1375
305	604	1371
306	606	1368
307	607	1364
308	608	1360
309	610	1359
310	612	1357
